iter	Passed	Remaining
593	3692	2523
594	3697	2516
595	3702	2509
596	3707	2502
597	3713	2496
598	3719	2490
599	3725	2483
600	3729	2476
601	3736	2470
602	3741	2463
603	3747	2457
604	3752	2450
605	3757	2442
606	3762	2436
607	3768	2429
608	3772	2422
609	3778	2415
610	3783	2409
611	3789	2402
612	3795	2395
613	3800	2389
614	3804	2381
615	3809	2374
616	3815	2368
617	3820	2361
618	3825	2354
619	3830	2347
620	3835	2340
621	3841	2334
622	3847	2327
623	3852	2321
624	3858	2315
625	3863	2308
626	3870	2302
627	3875	2295
628	3881	2289
629	3888	2283
630	3894	2277
631	3901	2271
632	3907	2265
633	3914	2259
634	3920	2253
635	3926	2247
636	3932	2241
637	3940	2235
638	3946	2229
639	3953	2223
640	3959	2217
641	3966	2212
642	3973	2205
643	3979	2199
644	3985	2193
645	3992	2187
646	3998	2181
647	4004	2175
648	4009	2168
649	4015	2162
650	4020	2155
651	4025	2148
652	4032	2142
653	4038	2136
654	4043	2130
655	4049	2123
656	4054	2116
657	4059	2110
658	4065	2103
659	4072	2097
660	4077	2091
661	4084	2085
662	4089	2078
663	4094	2072
664	4100	2065
665	4106	2059
666	4112	2053
667	4117	2046
668	4122	2039
669	4128	2033
670	4134	2027
671	4142	2021
672	4148	2015
673	4154	2009
674	4161	2003
675	4167	1997
676	4174	1991
677	4181	1985
678	4188	1980
679	4194	1974
680	4201	1967
681	4207	1961
682	4213	1955
683	4218	1948
684	4224	1942
685	4230	1936
686	4235	1929
687	4241	1923
688	4247	1917
689	4254	1911
690	4261	1905
691	4268	1899
692	4273	1893
693	4278	1886
694	4283	1879
695	4289	1873
696	4296	1867
697	4302	1861
698	4307	1855
699	4312	1848
700	4318	1841
701	4323	1835
702	4328	1828
703	4333	1822
704	4338	1815
705	4343	1808
706	4349	1802
707	4354	1796
708	4360	1789
709	4364	1782
710	4370	1776
711	4375	1769
712	4381	1763
713	4386	1756
714	4390	1750
715	4396	1743
716	4401	1737
717	4407	1730
718	4411	1724
719	4417	1717
720	4423	1711
721	4428	1705
722	4433	1698
723	4438	1692
724	4444	1685
725	4449	1679
726	4455	1673
727	4459	1666
728	4464	1659
729	4470	1653
730	4476	1647
731	4481	1640
732	4486	1634
733	4491	1627
734	4497	1621
735	4502	1615
736	4508	1608
737	4512	1602
738	4518	1595
739	4524	1589
740	4529	1583
741	4533	1576
742	4538	1569
743	4544	1563
